                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.2377,                0.84219,                 1.1948,                0.79299,                0.64003,                0.69187,                0.49922,                 1.2197,                0.84329,                 1.2799,               0.007162,               0.007162,               0.007162
                     88,                  1.232,                0.83142,                 1.1921,                0.80491,                0.64303,                0.69274,                0.50026,                 1.2187,                0.84212,                 1.2785,               0.007129,               0.007129,               0.007129
                     89,                 1.2297,                0.83671,                 1.1927,                0.80768,                0.64291,                0.69391,                 0.5023,                 1.2174,                0.84026,                 1.2773,               0.007096,               0.007096,               0.007096
                     90,                 1.2275,                0.82377,                 1.1894,                0.80893,                0.64231,                0.69498,                0.50252,                 1.2167,                0.83999,                 1.2767,               0.007063,               0.007063,               0.007063
                     91,                 1.2242,                0.83208,                 1.1867,                0.80846,                0.64271,                0.69491,                0.50189,                 1.2158,                0.83868,                 1.2757,                0.00703,                0.00703,                0.00703
                     92,                 1.2307,                0.83277,                 1.1883,                0.80902,                0.64293,                0.69527,                0.50129,                 1.2145,                0.83731,                 1.2742,               0.006997,               0.006997,               0.006997
                     93,                 1.2174,                0.82486,                 1.1796,                0.80827,                0.64462,                0.69668,                0.50232,                 1.2131,                 0.8365,                 1.2732,               0.006964,               0.006964,               0.006964
                     94,                 1.2285,                0.82504,                 1.1859,                  0.811,                0.64027,                0.69798,                0.50277,                 1.2121,                0.83493,                 1.2722,               0.006931,               0.006931,               0.006931
                     95,                 1.2256,                0.82649,                 1.1898,                 0.8174,                 0.6366,                0.69884,                0.50326,                  1.212,                0.83307,                 1.2717,               0.006898,               0.006898,               0.006898
                     96,                 1.2113,                0.80843,                 1.1766,                0.79867,                0.64563,                0.69945,                0.50494,                 1.2109,                0.83176,                 1.2704,               0.006865,               0.006865,               0.006865
                     97,                 1.2141,                0.81315,                 1.1773,                0.79987,                0.64567,                 0.7003,                0.50525,                 1.2101,                0.83096,                 1.2697,               0.006832,               0.006832,               0.006832
                     98,                 1.2163,                0.81951,                 1.1763,                0.79892,                0.64549,                0.70068,                0.50631,                 1.2098,                0.83019,                 1.2692,               0.006799,               0.006799,               0.006799
                     99,                 1.2128,                0.81241,                 1.1765,                0.81722,                0.63482,                0.70122,                0.50808,                  1.209,                0.82856,                 1.2684,               0.006766,               0.006766,               0.006766
                    100,                 1.2086,                0.81198,                 1.1691,                0.81636,                0.63565,                0.70233,                0.50867,                 1.2085,                0.82745,                 1.2678,               0.006733,               0.006733,               0.006733
                    101,                 1.2068,                0.80526,                 1.1679,                0.81148,                 0.6411,                0.70292,                0.50783,                 1.2077,                0.82626,                 1.2665,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.2074,                0.80804,                 1.1684,                0.80992,                  0.642,                0.70342,                0.50832,                 1.2067,                0.82551,                 1.2653,               0.006667,               0.006667,               0.006667
                    103,                 1.2027,                 0.8029,                 1.1685,                0.79376,                 0.6466,                0.70387,                0.50918,                 1.2059,                0.82437,                 1.2647,               0.006634,               0.006634,               0.006634
                    104,                 1.2031,                0.80655,                  1.171,                0.79656,                   0.65,                0.70455,                0.50955,                 1.2053,                0.82334,                 1.2642,               0.006601,               0.006601,               0.006601
                    105,                 1.2054,                0.80293,                 1.1705,                0.79815,                0.64853,                0.70492,                0.51004,                 1.2044,                0.82244,                 1.2634,               0.006568,               0.006568,               0.006568
                    106,                 1.2042,                0.79627,                 1.1706,                0.79734,                0.64577,                0.70566,                0.51059,                 1.2037,                0.82093,                 1.2627,               0.006535,               0.006535,               0.006535
                    107,                 1.1963,                0.79373,                 1.1669,                0.80018,                0.64577,                0.70625,                0.51151,                 1.2025,                0.81953,                 1.2618,               0.006502,               0.006502,               0.006502
                    108,                 1.1949,                0.79369,                 1.1682,                0.79659,                0.64899,                 0.7069,                0.51146,                 1.2017,                0.81775,                 1.2609,               0.006469,               0.006469,               0.006469
                    109,                 1.1994,                0.79476,                 1.1651,                0.79792,                0.64897,                0.70797,                0.51341,                  1.201,                0.81626,                 1.2599,               0.006436,               0.006436,               0.006436
                    110,                 1.1937,                0.79148,                 1.1632,                0.79952,                 0.6483,                0.70911,                0.51471,                 1.2006,                0.81529,                 1.2594,               0.006403,               0.006403,               0.006403
                    111,                 1.1916,                0.78501,                  1.159,                0.85195,                0.62396,                0.70993,                0.51614,                 1.1996,                0.81449,                 1.2586,                0.00637,                0.00637,                0.00637
                    112,                 1.1869,                0.78302,                 1.1587,                0.84771,                0.62747,                0.71111,                0.51765,                 1.1986,                0.81405,                 1.2578,               0.006337,               0.006337,               0.006337
                    113,                 1.1921,                0.78669,                 1.1571,                0.84975,                0.62649,                0.71147,                0.51807,                 1.1978,                0.81239,                 1.2564,               0.006304,               0.006304,               0.006304
                    114,                 1.1858,                0.77765,                 1.1561,                0.84942,                0.62699,                0.71171,                 0.5193,                 1.1969,                0.81135,                 1.2554,               0.006271,               0.006271,               0.006271
                    115,                 1.1846,                  0.777,                  1.158,                0.84858,                0.62961,                0.71246,                0.52079,                  1.196,                0.81065,                 1.2548,               0.006238,               0.006238,               0.006238
                    116,                 1.1843,                0.77523,                 1.1512,                0.84735,                0.63042,                0.71349,                0.52011,                 1.1953,                0.80931,                 1.2539,               0.006205,               0.006205,               0.006205
                    117,                 1.1798,                0.77795,                 1.1495,                0.84674,                0.63028,                0.71406,                0.52106,                 1.1943,                0.80812,                 1.2529,               0.006172,               0.006172,               0.006172
                    118,                  1.177,                0.76838,                 1.1499,                0.84896,                0.63183,                0.71482,                 0.5204,                 1.1926,                0.80668,                  1.251,               0.006139,               0.006139,               0.006139
                    119,                 1.1805,                 0.7742,                 1.1516,                0.84823,                0.63194,                0.71496,                0.52117,                 1.1916,                 0.8058,                   1.25,               0.006106,               0.006106,               0.006106
                    120,                 1.1839,                0.77356,                  1.147,                0.84549,                 0.6301,                0.71544,                0.52204,                 1.1904,                0.80467,                  1.249,               0.006073,               0.006073,               0.006073
                    121,                 1.1787,                0.77357,                 1.1484,                0.84751,                0.63172,                 0.7157,                0.52127,                 1.1897,                0.80393,                 1.2483,                0.00604,                0.00604,                0.00604
                    122,                  1.166,                0.75834,                 1.1434,                0.84674,                0.63225,                0.71631,                0.52036,                 1.1892,                 0.8027,                 1.2475,               0.006007,               0.006007,               0.006007
                    123,                 1.1724,                0.76159,                 1.1404,                0.84871,                 0.6309,                0.71708,                0.52202,                 1.1884,                0.80227,                 1.2464,               0.005974,               0.005974,               0.005974
                    124,                 1.1688,                0.75967,                 1.1421,                0.84916,                0.63019,                0.71772,                0.52257,                 1.1875,                 0.8011,                 1.2455,               0.005941,               0.005941,               0.005941
                    125,                 1.1763,                 0.7707,                 1.1451,                 0.8471,                0.62953,                0.71821,                0.52333,                 1.1875,                0.79983,                 1.2452,               0.005908,               0.005908,               0.005908
                    126,                 1.1723,                0.76297,                 1.1455,                0.84637,                0.63033,                0.71871,                0.52276,                 1.1867,                0.79912,                 1.2442,               0.005875,               0.005875,               0.005875
                    127,                 1.1668,                0.75984,                 1.1402,                0.84698,                0.63162,                0.71883,                0.52587,                 1.1858,                0.79802,                 1.2432,               0.005842,               0.005842,               0.005842
                    128,                 1.1664,                0.75659,                 1.1424,                0.84701,                0.63085,                0.72017,                0.52694,                 1.1847,                0.79666,                 1.2421,               0.005809,               0.005809,               0.005809
                    129,                 1.1646,                0.75343,                 1.1375,                0.84955,                0.63325,                0.72134,                0.52693,                 1.1838,                0.79581,                 1.2411,               0.005776,               0.005776,               0.005776
                    130,                 1.1665,                0.75938,                 1.1393,                0.84997,                0.63237,                0.72229,                0.52881,                  1.183,                0.79518,                 1.2399,               0.005743,               0.005743,               0.005743
                    131,                 1.1626,                  0.751,                  1.137,                0.82208,                0.64774,                0.72272,                0.52957,                 1.1824,                0.79424,                 1.2393,                0.00571,                0.00571,                0.00571
                    132,                 1.1638,                0.74938,                  1.136,                0.82434,                0.64633,                0.72375,                0.53025,                 1.1816,                0.79226,                 1.2385,               0.005677,               0.005677,               0.005677
                    133,                 1.1562,                0.74584,                 1.1328,                0.82591,                0.64629,                0.72414,                0.53061,                 1.1804,                0.79149,                 1.2373,               0.005644,               0.005644,               0.005644
                    134,                 1.1562,                0.74759,                 1.1301,                0.82593,                0.64636,                0.72427,                0.53159,                 1.1794,                0.78993,                 1.2362,               0.005611,               0.005611,               0.005611
                    135,                 1.1546,                  0.742,                 1.1334,                0.82578,                0.64622,                0.72465,                0.53284,                 1.1785,                0.78927,                 1.2355,               0.005578,               0.005578,               0.005578
                    136,                 1.1582,                 0.7478,                 1.1335,                0.82117,                0.65365,                0.72512,                0.53544,                 1.1769,                0.78752,                 1.2343,               0.005545,               0.005545,               0.005545
                    137,                 1.1554,                0.74335,                 1.1308,                0.82248,                0.65342,                0.72564,                0.53593,                 1.1763,                0.78657,                 1.2335,               0.005512,               0.005512,               0.005512
                    138,                 1.1531,                0.74337,                 1.1304,                0.82255,                0.65525,                0.72595,                0.53546,                 1.1759,                 0.7862,                 1.2323,               0.005479,               0.005479,               0.005479
                    139,                 1.1536,                0.73673,                 1.1254,                0.82305,                0.65852,                0.72707,                0.53558,                 1.1749,                0.78443,                 1.2314,               0.005446,               0.005446,               0.005446
                    140,                 1.1464,                0.73645,                 1.1214,                0.82387,                0.65804,                0.72785,                0.53649,                 1.1743,                0.78326,                 1.2301,               0.005413,               0.005413,               0.005413
                    141,                 1.1445,                0.72985,                 1.1226,                0.81181,                0.66702,                0.72792,                0.53621,                 1.1734,                0.78188,                 1.2291,                0.00538,                0.00538,                0.00538
                    142,                 1.1395,                0.73216,                 1.1235,                0.81067,                0.66729,                0.72829,                0.53699,                 1.1726,                0.78089,                  1.228,               0.005347,               0.005347,               0.005347
                    143,                 1.1527,                0.73534,                 1.1214,                 0.8112,                0.66701,                 0.7287,                0.53764,                 1.1717,                0.77941,                 1.2271,               0.005314,               0.005314,               0.005314
                    144,                 1.1415,                0.72652,                 1.1191,                0.81259,                0.66673,                 0.7293,                0.53733,                 1.1709,                0.77883,                 1.2258,               0.005281,               0.005281,               0.005281
                    145,                 1.1354,                0.72602,                 1.1188,                0.83484,                0.65644,                0.72993,                0.53899,                 1.1695,                0.77768,                 1.2246,               0.005248,               0.005248,               0.005248
                    146,                  1.136,                0.72246,                 1.1205,                0.83916,                0.65796,                 0.7305,                0.53973,                 1.1685,                0.77702,                 1.2237,               0.005215,               0.005215,               0.005215
                    147,                 1.1392,                0.72445,                 1.1244,                0.84798,                0.65157,                0.73134,                0.54024,                 1.1678,                0.77652,                 1.2228,               0.005182,               0.005182,               0.005182
                    148,                 1.1394,                0.72651,                 1.1212,                0.84878,                0.65191,                0.73168,                   0.54,                 1.1668,                0.77533,                 1.2215,               0.005149,               0.005149,               0.005149
                    149,                 1.1346,                0.72019,                 1.1161,                0.84782,                0.65554,                0.73288,                0.54127,                 1.1662,                0.77431,                 1.2204,               0.005116,               0.005116,               0.005116
                    150,                 1.1342,                0.72412,                 1.1184,                0.84734,                0.65557,                0.73388,                0.54212,                 1.1652,                0.77353,                 1.2191,               0.005083,               0.005083,               0.005083
                    151,                 1.1253,                0.71553,                 1.1116,                0.84679,                0.65645,                0.73435,                0.54363,                 1.1644,                0.77243,                 1.2181,                0.00505,                0.00505,                0.00505
                    152,                 1.1308,                0.71972,                 1.1128,                0.84645,                0.65611,                0.73387,                0.54317,                 1.1631,                0.77166,                 1.2169,               0.005017,               0.005017,               0.005017
